1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
great,pocket,pc,/,phone,combination	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i've,owned,this,phone,for,7,months,now,and,can,say,that,it's,the,best,mobile,phone,i've,had	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,didn't,think,that,the,instructions,provided,were,helpful,to,me	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
people,couldnt,hear,me,talk,and,i,had,to,pull,out,the,earphone,and,talk,on,the,phone	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doesn't,hold,charge	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,is,a,simple,little,phone,to,use,but,the,breakage,is,unacceptible	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,product,is,ideal,for,people,like,me,whose,ears,are,very,sensitive	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,is,unusable,in,a,moving,car,at,freeway,speed	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,have,two,more,years,left,in,this,contract,and,i,hate,this,phone	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
car,charger,as,well,as,ac,charger,are,included,to,make,sure,you,never,run,out,of,juicehighy,recommended	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you,need,at,least,3,mins,to,get,to,your,phone,book,from,the,time,you,first,turn,on,the,phonebattery,life,is,short	,,,,,,,,,,,,,,,,,,,,,,,,,,
it,has,kept,up,very,well	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poor,talk,time,performance	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,case,is,great,and,works,fine,with,the,680	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worthless,product	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,has,a,great,camera,thats,2mp,and,the,pics,are,nice,and,clear,with,great,picture,quality	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,was,not,impressed,by,this,product	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nice,headset,priced,right	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,only,hear,garbage,for,audio	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excellent,bluetooth,headset	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,has,all,the,features,i,want	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who,in,their,right,mind,is,gonna,buy,this,battery	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after,arguing,with,verizon,regarding,the,dropped,calls,we,returned,the,phones,after,two,days	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,case,seems,well,made	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disappointed,with,battery	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not,loud,enough,and,doesn't,turn,on,like,it,should	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
good,protection,and,does,not,make,phone,too,bulky	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,usable,keyboard,actually,turns,a,pda,into,a,real-world,useful,machine,instead,of,just,a,neat,gadget	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,phone,is,pretty,sturdy,and,i've,never,had,any,large,problems,with,it	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,love,this,thing	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everything,about,it,is,fine,and,reasonable,for,the,price,ie	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
very,disappointed	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,even,dropped,this,phone,into,a,stream,and,it,was,submerged,for,15,seconds,and,it,still,works,great	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,have,been,very,happy,with,the,510,and,have,had,no,complaints,from,any,one,regarding,my,sound,quality,on,their,end	,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,buttons,for,on,and,off,are,bad	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essentially,you,can,forget,microsoft's,tech,support	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,really,recommend,this,faceplates,since,it,looks,very,nice,elegant,and,cool	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
these,headphones,were,a,great,find,-,and,i,think,they,are,perhaps,the,best,purchase,i've,made,in,the,last,several,years,-,seriously	,,,,,,,,,,,,,,,,,,,,,,,,,
buy,a,different,phone,-,but,not,this	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you,have,to,hold,the,phone,at,a,particular,angle,for,the,other,party,to,hear,you,clearly	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,one,big,drawback,of,the,mp3,player,is,that,the,buttons,on,the,phone's,front,cover,that,let,you,pause,and,skip,songs,lock,out,after,a,few,seconds	,,,,,,,,,,,,,,,,,,,,
a,week,later,after,i,activated,it,it,suddenly,died	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,feels,more,comfortable,than,most,headsets,because,i,wear,glasses,and,that,gets,in,the,way,sometimes	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great,for,ipods,too	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,device,is,great,in,several,situations:,)	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mic,doesn't,work	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
even,in,my,bmw,3,series,which,is,fairly,quiet,i,have,trouble,hearing,what,the,other,person,is,saying	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great,choice	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nice,docking,station,for,home,or,work	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,is,a,beautiful,phone	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
love,this,product	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do,not,buy,for,d807wrongly,advertised,for,d807	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,is,a,great,little,item	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,love,this,phone,"",it,is,very,handy,and,has,a,lot,of,features,	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,purchased,this,and,within,2,days,it,was,no,longer,working	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,wear,it,everyday,and,it,holds,up,very,well	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not,a,good,bargain	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
well,packaged,arrived,on,time,and,works,as,intended	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,battery,runs,down,quickly	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,item,worked,great,but,it,broke,after,6,months,of,use	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,headsets,are,easy,to,use,and,everyone,loves,them	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,phone,works,great	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,construction,of,the,headsets,is,poor	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,was,excellent,and,works,better,than,the,verizon,one,and,boy,was,it,cheaper	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,phone,loads,super	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for,a,product,that,costs,as,much,as,this,one,does,i,expect,it,to,work,far,better,and,with,greater,ease,than,this,thing,does	,,,,,,,,,,,,,,,,,,,,,,,,
made,very,sturdy	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worked,great	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,ear,buds,only,play,music,in,one,ear	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont,waste,your,money	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
will,order,from,them,again	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,you,plan,to,use,this,in,a,car,forget,about,it	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,found,this,product,to,be,waaay,too,big	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
best,i've,found,so,far,"",i've,tried,2,other,bluetooths,and,this,one,has,the,best,quality,(for,both,me,and,the,listener),as,well,as,ease,of,using	,,,,,,,,,,,,,,,,,,,,
i'm,very,disappointed,with,my,decision	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integrated,seamlessly,with,the,motorola,razr,phone	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buyer,beware,you,could,flush,money,right,down,the,toilet	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
definitely,a,bargain	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,price,was,very,good,and,with,the,free,shipping,and,all,it,was,a,good,purchase	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,received,my,supposedly,new,motorola,375,and,apparently,there,was,not,a,match,between,the,phone,and,the,charger	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pros:-good,camera,-,very,nice,pictures,"",also,has,cool,styles,like,black,and,white,and,more	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
that's,a,huge,design,flaw,(unless,i'm,not,using,it,correctly,which,i,don't,think,is,the,case)	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,love,my,350,headset,my,jabra350,bluetooth,headset,is,great,the,reception,is,very,good,and,the,ear,piece,is,a,comfortable,fit	,,,,,,,,,,,,,,,,,,,,,,,,,,
the,camera,although,rated,at,an,impressive,3,megapixels,renders,images,that,fall,well,below,expectations,of,such,a,relatively,high,resolution	,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,purcashed,this,for,the,car,charger,and,it,does,not,work	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sound,quality,on,both,end,is,excellent,i,use,headset,to,call,my,wife,and,ask,my,wife,to,use,headset,to,call,me,2	,,,,,,,,,,,,,,,,,,,,,,,,,
this,phone,is,slim,and,light,and,the,display,is,beautiful	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
its,a,little,geeky,but,i,think,thats,its,sex,on,toast,and,it,rocks,and,oozes,sex,right,down,to,its,battery,embedded,sleek,stylish,leather,case	,,,,,,,,,,,,,,,,,,,,,,
great,product,fast,shipping	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absolutely,great	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,keyboard,is,a,nice,compromise,between,a,full,qwerty,and,the,basic,cell,phone,number,keypad	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,got,this,phone,around,the,end,of,may,and,i'm,completely,unhappy,with,it	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,is,very,comfortable,on,the,ear	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,has,been,a,winner,for,us	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
)setup,couldn't,have,been,simpler	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i've,tried,several,different,earpieces,for,my,cell,phone,and,this,jabra,one,is,the,first,one,i've,found,that,fits,my,ear,comfortably	,,,,,,,,,,,,,,,,,,,,,,,,,,
could,not,get,strong,enough,signal	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iam,very,pleased,with,my,purchase	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bad,quality	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gets,the,job,done	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great,audio	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basically,the,service,was,very,bad	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,did,not,work,in,my,cell,phone,plug,i,am,very,up,set,with,the,charger	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i've,only,had,my,bluetooth,for,a,few,weeks,but,i,really,like,it	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,bt,headset,was,such,a,disapoinment	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,is,so,small,and,you,don't,even,realize,that,it,is,there,after,a,while,of,getting,used,to,it	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,accompanied,software,is,almost,brilliant	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headset,works,great,&,was,packaged,nicely,to,avoid,any,damage	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,definitly,recommend	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buyer--be,very,careful	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,majority,of,the,logitech,earbud,headsets,failed	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
very,good,stuff,for,the,price	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
my,headset,works,just,peachy-keen	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in,my,house,i,was,getting,dropped,coverage,upstairs,and,no,coverage,in,my,basement	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
voice,recognition,is,tremendous	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what,a,waste	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
during,several,different,2,minute,calls,i,experienced,5,drops,and,it,was,in,an,area,that,had,5,bars	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,was,not,happy,with,this,item	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
very,disappointed	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,phone,takes,forever,to,charge,like,2,to,5,hours,literally	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,got,this,phone,on,reccomendation,from,a,relative,and,i'm,glad,i,did	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what,a,waste,of,time	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
its,reception,is,very,very,poor	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
items,stated,as,included,from,the,description,are,not,included	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after,3,months,screen,just,went,black,all,of,a,sudden	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,was,hoping,for,more	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audio,quality,is,poor,very,poor	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,had,absolutely,no,problem,with,this,headset,linking,to,my,8530,blackberry,curve	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,know,that,sounds,funny,but,to,me,it,seemed,like,sketchy,technology,that,wouldn't,work,wellwell,this,one,works,great	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i've,bought,$5,wired,headphones,that,sound,better,than,these	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,phone,is,very,fast,with,sending,any,kind,of,messages,and,web,browsing,is,significantly,faster,than,previous,phones,i,have,used	,,,,,,,,,,,,,,,,,,,,,,,,,,,
nice,quality,build,unlike,some,cheap,s***,out,there	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,item,is,fantastic,and,works,perfectly	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and,i,just,love,the,colors	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w810i,is,just,superb	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,i,can,do,is,whine,on,the,internet,so,here,it,goesthe,more,i,use,the,thing,the,less,i,like,it	,,,,,,,,,,,,,,,,,,,,,,,,,,,
great,charger	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,is,essentially,a,communications,tool,that,does,not,communicate	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
works,like,a,charm;,it,work,the,same,as,the,one,i,got,with,the,phone	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,still,maintain,that,monkeys,shouldn't,make,headphones,we,just,obviously,don't,share,enough,dna,to,copy,the,design,over,to,humans	,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great,value	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doesn't,work,at,all,i,bougth,it,for,my,l7c,and,its,not,working	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,look,of,it,is,very,sharp,and,the,screen,is,nice,and,clear,with,great,graphics	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doesn't,last,long	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one,thing,i,hate,is,the,mode,set,button,at,the,side	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excellent,service	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thank,you,for,wasting,my,money	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how,can,that,bethe,audio,quality,is,poor	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,igo,chargers,and,tips,are,really,great	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,file,browser,offers,all,the,options,that,one,needshandsfree,is,great	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superb,phone,on,a,great,network	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,connected,my,wife's,bluetooth(motorola,hs850),to,my,phone,and,it,worked,like,a,charm,whether,the,phone,was,in,my,pocket,or,the,case	,,,,,,,,,,,,,,,,,,,,,,,,,
i,put,the,latest,os,on,it,(v115g),and,it,now,likes,to,slow,to,a,crawl,and,lock,up,every,once,in,a,while	,,,,,,,,,,,,,,,,,,,,,,,,,
it,only,recognizes,the,phone,as,its,storage,device	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,you,like,a,loud,buzzing,to,override,all,your,conversations,then,this,phone,is,for,you	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
don't,buy,this,product	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i've,had,this,bluetoooth,headset,for,some,time,now,and,still,not,comfortable,with,the,way,it,fits,on,the,ear	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,sound,quality,is,good,and,functionality,is,awesome	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,have,this,phone,and,it,is,a,thorn,in,my,side,i,really,abhor,it	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,recently,had,problems,where,i,could,not,stay,connected,for,more,than,10,minutes,before,being,disconnected	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incredible	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,flaw	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great,phone	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waste,of,13,bucks	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,when,i,check,voice,mail,at,night,the,keypad,backlight,turns,off,a,few,seconds,into,the,first,message,and,then,i'm,lost	,,,,,,,,,,,,,,,,,,,,,,,,,,
the,replacement,died,in,a,few,weeks	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
any,ring,toneoverall,good,phone,to,buy	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lately,they,have,been,extremely,nice,and,helpful,on,the,phone	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,have,had,problems,wit,hit,dropping,signal,and,more	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not,impressed	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
light,weight,i,hardly,notice,it,is,there	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you'll,love,how,thin,it,is	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bad,choice	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,pleather,case,doesn't,fit	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
useless,phone,simply,deaf	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,color,is,even,prettier,than,i,thought,it,would,be,and,the,graphics,are,incredibly,sharp	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,in,all,i,think,it,was,a,good,investment	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,makes,very,strange,ticking,noises,before,it,ends,the,call	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,best,electronics,of,the,available,fm,transmitters	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
battery,lasts,only,a,few,hours	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great,headset,very,impressed,-,h500	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
